lizard,frequency,date,time,time.block,time.class,lat,long,ground,mesohabitat,microhabitat.simple,microhabitat1,microhabitat2,microhabitat3,behavior,observer
m,540,3-Jul,10:31,morn,AM,35.11439,-119.62456,above,shrub,shrub,undershrub,,,cooling,taylor
m,540,24-Jun,10:16,morn,AM,35.11466,-119.624559,above,open,bare,barepatch,,,sunning,taylor
m,540,26-Jun,7:24,early morn,AM,35.11471,-119.6245,below,open,burrow,burrow,washbank,,standing,taylor
m,540,27-Jun,6:40,early morn,AM,35.11473,-119.6245,below,open,burrow,burrow,washbank,,standing,taylor
m,540,24-Jun,6:11,early morn,AM,35.1147,-119.62448,below,open,burrow,burrow,washbank,,standing,taylor
m,540,1-Jul,6:08,early morn,AM,35.11471,-119.62448,below,open,burrow,burrow,washbank,,standing,taylor
m,540,3-Jul,6:19,early morn,AM,35.11472,-119.62448,below,open,burrow,burrow,washbank,,standing,taylor
m,540,18-Jun,15:29,afternoon,PM,35.11474,-119.62448,below,open,burrow,burrow,washbank,,standing,taylor
m,540,2-Jul,19:43,evening,PM,35.11475,-119.62448,below,open,burrow,burrow,washbank,,standing,taylor
m,540,25-Jun,6:22,early morn,AM,35.1147,-119.62447,below,shrub,burrow,burrow,wash,undershrub,standing,taylor
m,540,18-Jun,20:34,evening,PM,35.11475,-119.62447,below,open,burrow,burrow,washbank,,standing,taylor
m,540,28-Jun,19:54,evening,PM,35.11475,-119.62447,below,open,burrow,burrow,washbank,,standing,taylor
m,540,4-Jul,19:59,evening,PM,35.11475,-119.62447,below,open,burrow,burrow,,,standing,taylor
m,540,5-Jul,19:49,evening,PM,35.11475,-119.62447,below,open,burrow,burrow,washbank,,standing,taylor
m,540,26-Jun,15:40,afternoon,PM,35.11472,-119.62444,above,shrub,shrub,undershrub,wash,,cooling,taylor
m,540,22-Jun,19:41,evening,PM,35.11468,-119.6244,below,shrub,burrow,burrow,undershrub,washbank,standing,taylor
m,540,23-Jun,19:21,evening,PM,35.11478,-119.62435,below,open,burrow,burrow,washbank,,standing,taylor
m,540,22-Jun,16:38,afternoon,PM,35.11468,-119.62421,above,open,wash,washbank,,,cooling,taylor
a,0,3-Jul,17:18,afternoon,PM,35.11795,-119.62405,above,shrub ,shrub,shrubedge,,,cooling,taylor
a,0,4-Jul,11:50,morn,AM,35.11737,-119.62403,above,open,bare,barepatch,,,sunning,taylor
k,500,16-Jun,10:01,morn,AM,35.11597,-119.6239,below,open,burrow,burrow,wash,,standing,taylor
k,500,15-Jun,9:07,morn,AM,35.11597,-119.6239,below,open,wash,washbank,,,standing,taylor
u,820,23-Jun,9:27,morn,AM,35.1146,-119.62389,above,shrub,shrub,shrubedge,,,sunning,taylor
i,439,5-Jul,11:27,morn,AM,35.11426,-119.62383,above,shrub,shrub,undershrub,,,cooling,taylor
i,439,21-Jun,5:40,early morn,AM,35.11447,-119.62383,above,shrub,burrow,burrow,undershrub,washbank,standing,taylor
i,439,18-Jun,20:31,evening,PM,35.11455,-119.62379,below,open,burrow,burrow,washbank,,standing,taylor
i,439,18-Jun,15:43,afternoon,PM,35.11449,-119.62376,above,shrub,shrub,shrubedge,washbank,,cooling,taylor
u,820,26-Jun,15:33,afternoon,PM,35.11448,-119.62374,above,shrub,burrow,burrow,undershrub,washbank,cooling,taylor
i,439,18-Jun,10:30,morn,AM,35.11446,-119.62373,below,shrub,burrow,burrow,washbank,,standing,taylor
a,0,29-Jun,16:21,afternoon,PM,35.11678,-119.62373,below,shrub,burrow,burrow,,,standing,taylor
i,439,11-Jul,10:57,morn,AM,35.11424,-119.6236,below,open,burrow,burrow,,,standing,taylor
m,540,1-Jul,17:28,evening,PM,35.11438,-119.6236,below,shrub,burrow,burrow,,,standing,taylor
m,540,1-Jul,17:28,evening,PM,35.11438,-119.6236,below,shrub,burrow,burrow,,,standing,taylor
i,439,25-Jun,10:24,morn,AM,35.1142,-119.62358,below,open,burrow,burrow,,,standing,taylor
i,439,24-Jun,6:06,early morn,AM,35.11416,-119.62357,below,open,burrow,burrow,,,standing,taylor
i,439,1-Jul,6:02,early morn,AM,35.11418,-119.62357,below,open,burrow,burrow,,,standing,taylor
i,439,21-Jun,11:10,morn,AM,35.11442,-119.62357,below,open,burrow,burrow,,,standing,taylor
i,439,15-Jun,9:39,morn,AM,35.114,-119.62356,below,open,burrow,burrow,,,standing,taylor
i,439,25-Jun,6:14,early morn,AM,35.11418,-119.62356,below,open,burrow,burrow,,,standing,taylor
i,439,24-Jun,10:12,morn,AM,35.1142,-119.62356,below,open,burrow,burrow,,,standing,taylor
i,439,5-Jul,17:06,afternoon,PM,35.11421,-119.62356,below,open,burrow,burrow,,,standing,taylor
